mod_name,Name,Job title on Etheruem Foudation,Job title 1,Job Title 2,Job Title 3,Company1,Job title in other company,Company2,Job title in other company 2,Company3,Job title in other company 3,Job title 2 in other company,Job title in other company 4,Company4,author_id,co_matched_names,extra_in_co
wilkinschung,Wilkins Chung,,Founder,,,Manifold.xyz,,,,,,,,,243,Wilkins Chung,
williamentriken,William Entriken,,General Manager,,,Pacific Medical Training,Advisor,Arianee,Independent Consultant,Wm Entriken Design & Consulting,Advisor,0xcert,,,30,William Entriken,
williammorriss,William Morriss,,Founder,,,VM Capital,,,,,,,,,153,William Morriss,
willvillanueva,Will Villanueva,,CEO,,,Element Finance,,,,,,,,,521,Will Villanueva,
witekradomski,Witek Radomski,,Co-founder,CTO,,Enjin,,,,,,,,,64,Witek Radomski,
yanzhu,Yan Zhu,,Chief Security Officer,,,Brave Software,,,,,,,,,277,Yan Zhu,
yoavweiss,Yoav Weiss,Security Fellow,Security Consultant,,,,,,,,,,,,97,Yoav Weiss,
yoichihirai,Yoichi Hirai,,Senior Software Engineer,,,"BedRock Systems, Inc",,,,,,,,,26,Yoichi Hirai,
youssefelhousni,Youssef El Housni,,Senior Applied Cryptographer,,,ConsenSys,,,,,,,,,161,Youssef El Housni,
zacharywilliamson,Zachary Williamson,,Director of Product Management,,,ConsenSys,,,,,,,,,314,Zachary Williamson,
zainanvictorzhou,Zainan Victor Zhou,Author and Contributor of Ethereum Improvement Proposals,Software Engineer,,,Google,,,,,,,,,71,Zainan Victor Zhou,
zainanzhou,Zainan Zhou,,Founder,CEO,,stealth web3 startup,Founder,AlephCrypto.xyz,,,,,,,258,Zainan Zhou,
