author_id,Full_Name,GitHub_Username,Anonymity_Flag_x,Unnamed: 0,Name,Anonymity_Flag_y,_merge
,,,,80.0,Mikhail Mikheev,0.0,right_only
,,,,81.0,knarfeh,1.0,right_only
,,,,82.0,Samuel Marks,0.0,right_only
,,,,83.0,Sam Boyer,0.0,right_only
,,,,84.0,Xas,1.0,right_only
,,,,85.0,Lefteris Karapetsas,0.0,right_only
,,,,86.0,Slava Karpenko,0.0,right_only
,,,,87.0,Hendrik Hofstadt,0.0,right_only
,,,,88.0,dylanhuang,1.0,right_only
,,,,89.0,Amir Hossein,0.0,right_only
,,,,90.0,meows,1.0,right_only
,,,,91.0,Marcin Sobczak,0.0,right_only
,,,,92.0,Tomasz Stanczak,0.0,right_only
,,,,93.0,hexoscott,1.0,right_only
,,,,94.0,Kian,1.0,right_only
,,,,95.0,Vlad Bokov,0.0,right_only
,,,,96.0,6543,1.0,right_only
,,,,97.0,hwanjo,1.0,right_only
,,,,98.0,Dmitry Shulyak,0.0,right_only
,,,,99.0,maszrum,1.0,right_only
,,,,100.0,Stephan Tual,0.0,right_only
,,,,101.0,iFA,1.0,right_only
,,,,102.0,holisticode,1.0,right_only
,,,,104.0,GuiltyMorishita,1.0,right_only
,,,,105.0,Ross,1.0,right_only
,,,,106.0,Guilherme Salgado,0.0,right_only
,,,,107.0,Josh Richardson,0.0,right_only
,,,,108.0,???,1.0,right_only
,,,,109.0,libotony,1.0,right_only
,,,,110.0,Hao Duan,0.0,right_only
,,,,111.0,Federico Gimenez,0.0,right_only
,,,,112.0,Eugene Valeyev,0.0,right_only
,,,,113.0,Helder Pinto,0.0,right_only
,,,,114.0,Emin Mahrt,0.0,right_only
,,,,115.0,S. Matthew English,0.0,right_only
,,,,116.0,Evgeny Danienko,0.0,right_only
,,,,117.0,Zahoor Mohamed,0.0,right_only
,,,,118.0,Hyung-Kyu Hqueue Choi,0.0,right_only
,,,,119.0,Frank Szendzielarz,0.0,right_only
,,,,120.0,?TH??SPH???,1.0,right_only
,,,,121.0,Jonas,1.0,right_only
,,,,122.0,Abd ar-Rahman Hamidi,0.0,right_only
,,,,123.0,Alex Willmer,0.0,right_only
,,,,124.0,Michael Montour,0.0,right_only
,,,,125.0,Lukasz Rozmej,0.0,right_only
,,,,126.0,Sylvain Laurent,0.0,right_only
,,,,127.0,Armin Braun,0.0,right_only
,,,,128.0,root,1.0,right_only
,,,,129.0,Giovanni HoSang,0.0,right_only
,,,,130.0,Leo Shklovskii,0.0,right_only
,,,,131.0,Enrique Jose  Avila Asapche,0.0,right_only
,,,,132.0,canepat,1.0,right_only
,,,,133.0,Furkan KAMACI,0.0,right_only
,,,,135.0,sanskarkhare,1.0,right_only
,,,,136.0,James Prestwich,0.0,right_only
,,,,137.0,tmohay,1.0,right_only
,,,,138.0,Yihau Chen,0.0,right_only
,,,,139.0,Fuyang Deng,0.0,right_only
,,,,140.0,Grant Noble,0.0,right_only
,,,,141.0,Bo Ye,0.0,right_only
,,,,142.0,kayla-henrie,1.0,right_only
,,,,143.0,Boqin Qin,0.0,right_only
,,,,144.0,Serhat ?evki Dinçer,0.0,right_only
,,,,145.0,Taeik Lim,0.0,right_only
,,,,146.0,Hsien-Tang Kao,0.0,right_only
,,,,147.0,pinges,1.0,right_only
,,,,148.0,Mason Fischer,0.0,right_only
,,,,149.0,cong,1.0,right_only
,,,,150.0,Sparty,1.0,right_only
,,,,151.0,Matt Whitehead,0.0,right_only
,,,,152.0,swaraj18,1.0,right_only
,,,,153.0,norwnd,1.0,right_only
,,,,154.0,Payne,1.0,right_only
,,,,155.0,sveneh,1.0,right_only
,,,,156.0,Taylor Gerring,0.0,right_only
,,,,157.0,Ziyuan Zhong,0.0,right_only
,,,,158.0,Alexandre Van de Sande,0.0,right_only
,,,,159.0,gfx,1.0,right_only
,,,,160.0,Sean Anderson,0.0,right_only
,,,,161.0,Javier Peletier,0.0,right_only
,,,,162.0,Jorge Arce-Garro,0.0,right_only
,,,,163.0,Ernesto del Toro,0.0,right_only
,,,,164.0,þ,1.0,right_only
,,,,165.0,Zou Guangxian,0.0,right_only
,,,,166.0,Max Revitt,0.0,right_only
,,,,168.0,Philippe Schommers,0.0,right_only
,,,,169.0,Lucas Saldanha,0.0,right_only
,,,,170.0,Jakub Freebit,0.0,right_only
,,,,171.0,Fabio Barone,0.0,right_only
,,,,172.0,Anatole,1.0,right_only
,,,,173.0,Destiner,1.0,right_only
,,,,174.0,JKinc,1.0,right_only
,,,,175.0,Pete,1.0,right_only
,,,,176.0,Anton Evangelatov,0.0,right_only
,,,,177.0,Ramesh Nair,0.0,right_only
,,,,179.0,Miguel Angel Rojo,0.0,right_only
,,,,180.0,Andrey Petrov,0.0,right_only
,,,,181.0,Zsfelfoldi,1.0,right_only
,,,,182.0,aperseghin,1.0,right_only
,,,,183.0,Caesar Chad,0.0,right_only
,,,,184.0,Nikifor Seryakov,0.0,right_only
,,,,185.0,chris-j-h,1.0,right_only
,,,,186.0,Temirlan,1.0,right_only
,,,,187.0,Lightcilent,1.0,right_only
,,,,188.0,steve greensill,0.0,right_only
,,,,189.0,Alexander Yastrebov,0.0,right_only
,,,,190.0,Felipe Faraggi,0.0,right_only
,,,,191.0,Fabio Di Fabio,0.0,right_only
,,,,192.0,cpusoft,1.0,right_only
,,,,193.0,Artem Tsebrovskiy,0.0,right_only
,,,,194.0,Geff Obscura,0.0,right_only
,,,,195.0,Pierre R,0.0,right_only
,,,,196.0,lupin012,1.0,right_only
,,,,197.0,smartprogrammer93,1.0,right_only
,,,,198.0,Marin Ivanov,0.0,right_only
,,,,199.0,HP,1.0,right_only
,,,,200.0,JU HYEONG PARK,0.0,right_only
,,,,201.0,ahamlat,1.0,right_only
,,,,202.0,Christian Felde,0.0,right_only
,,,,203.0,Shude Li,0.0,right_only
,,,,204.0,sonicWhale,1.0,right_only
,,,,205.0,Bryan Stitt,0.0,right_only
,,,,206.0,Chen Quan,0.0,right_only
,,,,207.0,thinkAfCod,1.0,right_only
,,,,208.0,JoranHonig,1.0,right_only
,,,,209.0,Mio,1.0,right_only
,,,,210.0,Kiel barry,0.0,right_only
,,,,211.0,qd-ethan,1.0,right_only
,,,,212.0,chidi onyema,0.0,right_only
,,,,213.0,Dave Appleton,0.0,right_only
,,,,214.0,Erichin,1.0,right_only
,,,,215.0,Wesley,1.0,right_only
,,,,216.0,Jeff Prestes,0.0,right_only
,,,,217.0,ycyraum,1.0,right_only
,,,,218.0,vdwijden,1.0,right_only
,,,,219.0,chenyufeng,1.0,right_only
,,,,220.0,Juan Cruz,0.0,right_only
,,,,221.0,yep,1.0,right_only
,,,,222.0,David Huie,0.0,right_only
,,,,223.0,Victor Farazdagi,0.0,right_only
,,,,224.0,chabashilah,1.0,right_only
,,,,225.0,Damian Orzechowski,0.0,right_only
,,,,227.0,MrChico,1.0,right_only
,,,,228.0,Juuso Haavisto,0.0,right_only
,,,,229.0,xD AKA Rapper King Of cn background diablo & revelations,1.0,right_only
,,,,230.0,Krishna Upadhyaya,0.0,right_only
,,,,231.0,Felipe Strozberg,0.0,right_only
,,,,232.0,Martin Klepsch,0.0,right_only
,,,,233.0,kilic,1.0,right_only
,,,,234.0,Nicholas,1.0,right_only
,,,,235.0,Shunsuke Watanabe,0.0,right_only
,,,,236.0,shana,1.0,right_only
,,,,237.0,James Cunningham,0.0,right_only
,,,,238.0,Tuimf,1.0,right_only
,,,,239.0,EXEC,1.0,right_only
,,,,240.0,Egor Egorov,0.0,right_only
,,,,241.0,Charing,1.0,right_only
,,,,242.0,nicksavers,1.0,right_only
,,,,243.0,natdurlik,1.0,right_only
,,,,245.0,zaccoding,1.0,right_only
,,,,248.0,Liang Ma,0.0,right_only
,,,,249.0,komika,1.0,right_only
,,,,250.0,"Li, Cheng",0.0,right_only
,,,,251.0,mr_franklin,1.0,right_only
,,,,252.0,Leon,1.0,right_only
,,,,253.0,Marius van der Wijden,0.0,right_only
,,,,254.0,Antoine Rondelet,0.0,right_only
,,,,255.0,Maxim Krasilnikov,0.0,right_only
