,Names_to_Keep,Names_to_Replace,
63,Marek Moraczynski,Marek Moraczyynski,FALSE
65,Marek Moraczynski,Marek Moroczynski,FALSE
77,Marek Moraczynski,Marek Moraczyynski,FALSE
79,Marek Moraczynski,Marek Moroczynski,FALSE
250,Marek Moraczynski,Marek Moroczynski,FALSE
169,Marek Moraczynski,Marek Moroczynski,FALSE
152,Marius van der Wijden,Marius Van der Wijden,FALSE
153,Marius van der Wijden,Marius Van Der Wijden,FALSE
201,Marius Van der Wijden,Marius Van Der Wijden,FALSE
154,Marius van der Wijden,Marius VanderWidjen,FALSE
202,Marius Van der Wijden,Marius VanderWidjen,FALSE
255,Marius Van der Wijden,Marius VanderWidjen,FALSE
155,Marius Van der Wijden,MaruisVanDerWijden,FALSE
203,Marius Van der Wijden,MaruisVanDerWijden,FALSE
256,Marius Van der Wijden,MaruisVanDerWijden,FALSE
294,Marius Van der Wijden,MaruisVanDerWijden,FALSE
33,Marius Van der Wijden,Marius van der Wijden,FALSE
35,Marius Van der Wijden,Marius Van Der Wijden,FALSE
37,Marius Van der Wijden,Marius VanderWidjen,FALSE
36,Marius Van der Wijden,MariusVanDer,FALSE
32,Marius Van der Wijden,MariusVanDerWijden,FALSE
38,Marius Van der Wijden,MaruisVanDerWijden,FALSE
50,Marius Van der Wijden,Marius van der Wijden,FALSE
52,Marius Van der Wijden,Marius Van Der Wijden,FALSE
54,Marius Van der Wijden,Marius VanderWidjen,FALSE
53,Marius Van der Wijden,MariusVanDer,FALSE
55,Marius Van der Wijden,MaruisVanDerWijden,FALSE
81,Martin Holst Swende,Martin Hoist Swende,FALSE
84,Martin Holst Swende,Martin Holst Swende (EF/,FALSE
83,Martin Holst Swende,Martin Swende,FALSE
82,Martin Holst Swende,Martin Van Swende,FALSE
,Martin Holst Swende,Martin Hol,FALSE
90,Martin Holst Swende,Martin Holst,FALSE
,Martin Holst Swende,Martin Holst Swende (EF/geth/,FALSE
,Martin Holst Swende,Martin Holste Swende,FALSE
47,Martin Holst Swende,Martin Swende,FALSE
243,Martin Holst Swende,Martin Swende,FALSE
157,Mateusz Morusiewicz,Mateusz Morus,FALSE
137,Matthew Halpern,Matt Halpern,FALSE
204,Micah Zoltou,Micah ZOltu,FALSE
205,Micah Zoltou,Micah Zoltu,FALSE
206,Mikhail Kalanin,Mikhail Khalinin,FALSE
207,Mikhail Kalanin,Mikhial Kalinin,FALSE
161,Mikhail Kalanin,Mikhail Khalinin,FALSE
162,Mikhail Kalanin,Mikhial Kalinin,FALSE
232,Mikhail Kalanin,Mikhial Kalinin,FALSE
111,Oleg Jakushkin,Olegjakushkin,FALSE
,Peter Szilagyi,PÃÂ©ter Szil,FALSE
,Peter Szilagyi,PÃÂ©ter SzilÃÂ¡gyi (,FALSE
27,Peter Szilagyi,PÃÂ©ter SzilÃÂ¡gyi,FALSE
268,Paul Dworzanski,Paul D,FALSE
22,Paul Dworzanski,Paul Dworzanski (,FALSE
276,Pawel Bylica,PaweÃÂ Bylica,FALSE
277,Pawel Bylica,Pawel Byilca,FALSE
,Peter Szilagyi,Peter,FALSE
213,Peter Szilagyi,Peter S.,FALSE
279,Peter Szilagyi,Peter Szilagy,FALSE
5,Phil Lucsak,Phil Lucsok,FALSE
121,Phil Ngo,Phil No,FALSE
,Pooja Ranjan,Pooja | ECH,FALSE
188,Pooja Ranjan,Pooja ECH,FALSE
,Pooja Ranjan,Pooja R.,FALSE
191,Pooja Ranjan,Pooja,FALSE
,Pooja Ranjan,Pooja Ranjan.,FALSE
163,Pooja Ranjan,Pooja Kanjan,FALSE
151,Potuz,Potus,FALSE
21,Protolambda,protolambda,FALSE
148,Rai Ratan Sur,Ratan Sur,FALSE
,Rai Ratan Sur,Ratan  Sur,FALSE
1,Roberto B,Roberto,FALSE
181,Sajida Zouarhi,Sajida Zourahi,FALSE
142,Sam Wilson,o_O Sam Wilson,FALSE
212,SasaWebUp,SasaWeb,FALSE
0,Sean Anderson,Seananderson,FALSE
19,Stefan George,Stefen George,FALSE
,Alex Stokes,stokes,FALSE
117,Alex Stokes,Stokes,FALSE
138,Tenton Van Epps,Tentonvanepps,FALSE
139,Tenton Van Epps,Tren Van Epps,FALSE
141,Tenton Van Epps,Trent Van Epps,FALSE
140,Tenton Van Epps,Trenton van Epps,FALSE
249,Terence,terence,FALSE
,,testing),FALSE
156,,Testing),FALSE
126,Tomasz Stanczak,Tomasz K. Stanczak,FALSE
127,Tomasz Stanczak,Tomasz Stancsak,FALSE
114,Tim Beico,Tim Be,FALSE
69,Tim Beiko,Tim Be,FALSE
68,Tim Beiko,Tim Beico,FALSE
67,Tim Beiko,TimeBeiko,FALSE
93,Tim Beiko,Tim Beico,FALSE
,Tomasz Stanczak,Tomasz K. Stanczak,FALSE
,Tomasz Stanczak,Tomasz K. Stanczak,FALSE
228,Tomasz Stanczak,Tomasz Stancsak,FALSE
229,Tomasz Stanczak,Thomasz Stancsak,FALSE
,Tomasz Stanczak,Tomasz S,FALSE
97,Tomasz Stanczak,Thomasz S.,FALSE
96,Tomasz Stanczak,Tomasz,FALSE
,Tomasz Stanczak,Tomasz StaÃÂczak,FALSE
215,Tomasz Stanczak,Tomasz K. Stanczak,FALSE
216,Tomasz Stanczak,Tomasz Stancsak,FALSE
,Tomasz Stanczak,Tomasz Stancxak,FALSE
8,Tomasz Stanczak,Tomasz K. Stanczak,FALSE
,Tenton Van Epps,Tren Van Epps,FALSE
283,Tenton Van Epps,Trenton van Epps,FALSE
99,Tenton Van Epps,Trenton Van Epps,#REF!
269,Tukasz Rozmej,ÃÂukasz Rozmej,
254,Vitalik Buterin,Vitalik Buterin (,
109,Vitalik Buterin,Vitalik Buter,
74,Vitalik Buterin,Vitalik Buteri,
92,William Morris,William Morriss,
272,YDXTY Thi,YDXTY TS,
28,Yoav,Yoavw,
31,Yuga Choler,Yuga Cohler,
230,Zachary Williamson,Zac Williamson,
95,Zsfelfoldi,zsfelfoldi,
