,Name,Anonymity_Flag
130,Will Villanueva,0
131,Neville Grech,0
132,Dusan Stanivukovic,0
133,Dominator008,1
134,Casey Gardiner,0
135,Jamie Pitts,0
136,Marcin Sobczak,0
137,Matthias,1
138,Viktor Shepelin,0
139,Kamil Chodola,0
140,Dan Finlay,0
141,Jingwei,0
142,Martin Becze,0
143,Marek Moraczynski,0
144,Daniel Ellison,0
145,Jorge Mederos,0
146,Lakshman Sankar,0
147,Yoichi Hirai,0
148,Robert Drost,0
149,Antonio Sanso,0
150,Artem Vorotnikov,0
151,Agyt,1
152,Fabio Di Fabio,0
153,Daniel Lehrner,0
154,Lefteris Karapetsas,0
155,Piper Merriam,0
156,Zachary Belford,0
157,Ino Murko,0
158,Tom,1
159,Hind Kurhan,0
160,Diederik Loerakker protolambda,0
161,Kay,1
162,Dan Buchholz,0
163,RicMoo,1
164,Charles St Louis,0
165,Shahan Khatchadourian,0
166,Ruben,1
167,Alan Li,0
168,Tynes,1
169,Lukasz Rozmej,0
170,Phil Ngo,0
171,Thea,1
172,Rai Ratan Sur,0
173,Hudson Jameson,0
174,Alexey Akhunov,0
175,Joseph Delong,0
176,Sridarian Sharingan,0
177,Eugene Danilenko,0
178,Stag,1
179,GhaS Shee,0
180,Felix Lange,0
181,Tanishq,1
182,Michael Carter,0
183,Gajinder,1
184,Dustin Brody,0
185,Metachris,1
186,Chris Hager,0
187,DB,1
188,Makoto Inoue,0
189,Ramakrishnan Muthukrishnan,0
190,Carlbeek,0
191,Hugo de la Cruz,0
192,Kumavis,1
193,Roman Mandeleil,0
194,Marius van der Wijden,0
195,Kobi Gurkan,0
196,Jake Lang,0
197,Tim Beiko,0
198,SasaWebUp,1
199,Giuliorebuffo,0
200,YDXTY Thi,0
201,Mrabino1,1
202,Matt Luongo,0
203,Hal Press,0
204,Yanxi,1
205,Kelly,1
206,Phil Lucsak,0
207,Ameziane Hamlat,0
208,Joshua Douglas,0
209,HP,1
210,James Ray,0
211,Vorot93,1
212,Ben Edgington,0
213,Matthew English,0
214,Miss If (If-Def-Else/ProgPoW,1
215,Barnabas Busa,0
216,Dominic Letz,0
217,Jeff Coleman,0
218,TurboTrent,1
219,Alita Moore,0
220,Mariano Conti,0
221,La Donna Higgins,0
222,Andrea Lanfranchi,0
223,Sunce86,1
224,Mamy Ratsimbazafy,0
225,Holger Drewes,0
226,George Hervey,0
227,Yoav Weiss,0
228,Harry Altman,0
229,Spencer,1
230,Lasso,1
231,Brooklyn Zelenka,0
232,Snakethe4xor,1
233,Alexandre Van de Sande,0
234,Adria Massanet,0
235,Saulius Grigaitis,0
236,David Palm,0
237,Jesse Pollak,0
238,Crypto_Eren77,1
239,Martin Lundfall,0
240,Kristy-Leigh Minehan,0
241,Konrad Feldmeier,0
242,Jochem Brouwer,0
243,Bryant Eisenbach,0
244,Alex axic,0
245,Marcelo Ruiz de Olano,0
246,Vadim Arasev,0
247,BitsBeTrippin,1
248,Frankie Pangilinan,0
249,Ognyan,1
250,George Avsetsin,0
251,Johannes Zweng,0
252,H,1
253,Jan Winklemann,0
254,Vub,1
255,Leonardo Alt,0
256,Matthew Di Ferrante,0
257,Hacktar,1
258,Tomasz Drwiega,0
259,Sam Wilson,0
260,Matt Nelson,0
261,Peter Salanki,0
262,Ansgar Deitrichs,0
263,Thomasz Stancsak,0
264,Marek Kotewicz,0
265,Dan Burnett,0
266,Bradley Miller,0
267,Jason Carver,0
268,Dino Mark,0
269,Daniel Nagy,0
270,Gandalf,1
271,Diego LÃÂ³pez LeÃÂ³n,0
272,Oxcasey,1
273,Guillaume Ballet,0
274,Damien,1
275,Charles C,1
276,Peter Szilagyi,0
277,Mojtaba Tefagh,0
278,Matthew Halpern,0
279,Zsfelfoldi,0
280,Siri,1
281,Lightcilent,0
282,Adam Schmideg,0
283,Matthew Rodriguez,0
284,Youssef El Housn,0
285,Samni Egwu,0
286,Ligi,1
287,Jared Doro,0
288,Kevaundrav Wedderbum,0
289,Corwin Smith,0
290,Mehdi Aouadi,0
291,Micah Zoltou,0
292,James Hancock,0
293,Vie Yang,0
294,Tim Coulter,0
295,Vitalik Buterin,0
296,Helen George,0
297,Mikhail Melnik,0
298,Parithosh Jayanthi,0
299,Tomasz Stanczak,0
300,Casey Detrio,0
301,Matt Garnett,0
302,Potuz,1
303,Anton Nashatyrev,0
304,Selvis,1
305,Brayton,1
306,Nicholas,1
307,Bhargavasomu,1
308,Andrei Maiboroda,0
309,jgold,1
310,Eleazar Galano,0
311,Zahary,1
312,Edson Ayllon,0
313,Jacek Sieka,0
314,Bordel,1
315,Gavin Wood,0
316,Ken Ng,0
317,Jiri Peinlich,0
318,Liz Steininger,0
319,Milan Patel,0
320,Eric Kellstrand,0
321,Nathan (Blaise) Bruer,0
322,Karim Agha,0
323,PSEVE,1
324,AC,1
325,Leo Arias,0
326,Shane Jonas,0
327,Yannis Smaragdakis,0
328,Ashraf,1
329,Tyler Goodman,0
330,Jon Choi,0
331,William Morris,0
332,Anton Bukov,0
333,Gabi,1
334,Stefan Bratanov,0
335,Shashank Yalamanchi,0
336,Jamie Lokier,0
337,John Adler,0
338,Greg Markou,0
339,Jon Stevens,0
340,HexZorro,1
341,Rachid CHAMI,0
342,Asmbaty,1
343,Gary Schulte,0
344,Zak Cole,0
345,Daniel Celeda,0
346,Mikhail Kalinin,0
347,Igor Barinov,0
348,Chainsecurity,1
349,Mario Vega,0
350,Aditya Asgaonkar,0
351,Dimitry Khokhlov,0
352,Trenton van Epps,0
353,Ahmad Bitar,0
354,Enrico Del Fante,0
355,Alenque,1
356,Wei Tang,0
357,Michael LaCroix,0
358,Justin Drake,0
359,Zane Starr,0
360,Arkadiy Paronyan,0
361,Encryption Wizard,0
362,William Schwab,0
363,Gottfried Herold,0
364,Rachel Rose OLeary,0
365,Dmitry Ryajov,0
366,David Knott,0
367,Danny Ryan,0
368,David Murdoch,0
369,Alex Beregszaszi,0
370,Felipe Faraggi,0
371,Hubert,1
372,Karim Taam,0
373,Martin Ortner,0
374,Jordi Baylina,0
375,Josselin Feist,0
376,Kenneth Luster,0
